"Date","Open","High","Low","Close","Volume"
"5/5/23",278.26001,287.549988,277.309998,286.799988,36101400
"5/8/23",285.220001,292.200012,283.5,291.51001,34497900
"5/9/23",288.98999,289.730011,284.5,285.709991,31486900
"5/10/23",290.049988,291.130005,284.609985,288.850006,36935000
"5/11/23",288.959991,289.5,282.459991,285.779999,32214900
"5/12/23",285.290009,287.799988,280.459991,283.399994,27402700
"5/15/23",285.079987,289.690002,281.519989,289.529999,29392600
"5/16/23",288.410004,298.700012,288.320007,292.130005,44940500
"5/17/23",295.839996,301.98999,294.299988,301.779999,43253500
"5/18/23",304.100006,318.279999,303.200012,316.779999,74872500
"5/19/23",315.359985,315.799988,309.160004,312.640015,47312400
"5/22/23",309.01001,315.200012,306.799988,311.76001,37200000
"5/23/23",310,312.880005,306.309998,306.880005,35625300
"5/24/23",302.100006,306.070007,298.059998,305.380005,72141900
"5/25/23",385.230011,394.799988,366.350006,379.799988,154391100
"5/26/23",378.899994,391.700012,375.5,389.459991,71439700
"5/30/23",405.950012,419.380005,399.48999,401.109985,92340100
"5/31/23",394.880005,402.950012,378.220001,378.339996,100258000
"6/1/23",384.890015,400.5,383.399994,397.700012,63587300
"6/2/23",400.970001,405,390.579987,393.269989,48165500
"6/5/23",389.089996,395.649994,387.070007,391.709991,39609400
"6/6/23",388.299988,391.600006,381.480011,386.540009,38872900
"6/7/23",389.149994,394.98999,373.559998,374.75,51199800
"6/8/23",377.23999,388.640015,375.049988,385.100006,41777200
"6/9/23",390.369995,397.109985,385.670013,387.700012,42722000
"6/12/23",392,395.299988,386.179993,394.820007,38870100
"6/13/23",401.859985,411.01001,397.399994,410.220001,61320800
"6/14/23",408.23999,430,405.519989,429.970001,74046500
"6/15/23",426.019989,432.890015,421.470001,426.529999,56862200
"6/16/23",434.5,437.209991,426.609985,426.920013,65475500
"6/20/23",429.980011,439.899994,426.73999,438.079987,45115300
"6/21/23",435.01001,436.149994,420.799988,430.450012,55160300
"6/22/23",422.529999,434.26001,422.339996,430.25,41773700
"6/23/23",424.640015,428.089996,420.149994,422.089996,35632300
"6/26/23",424.609985,427.640015,401,406.320007,59432200
"6/27/23",407.98999,419.399994,404.480011,418.76001,46217500
"6/28/23",406.600006,418.450012,405.179993,411.170013,58263900
"6/29/23",415.579987,416,406,408.220001,38051400
"6/30/23",416.799988,425.5,415.01001,423.019989,50053400
"7/3/23",425.170013,428.980011,422.019989,424.130005,19820900
"7/5/23",421.350006,431.769989,420.850006,423.170013,32361800
"7/6/23",418.440002,421.790009,413.459991,421.029999,30358200
"7/7/23",423.220001,432.140015,421.799988,425.029999,35525300
"7/10/23",426.570007,428.109985,416.48999,421.799988,35390800
"7/11/23",424.809998,427.579987,420.670013,424.049988,29824400
"7/12/23",430.329987,439.350006,427.769989,439.019989,48127700
"7/13/23",445.179993,461.549988,444.920013,459.769989,47820400
"7/14/23",465.829987,480.880005,450.600006,454.690002,77066400
"7/17/23",462.890015,464.959991,452.619995,464.609985,51048800
"7/18/23",467.01001,478.959991,457.339996,474.940002,57019000
"7/19/23",474.640015,478.179993,467.420013,470.769989,42750200
"7/20/23",465.070007,470.869995,450.619995,455.200012,53786500
"7/21/23",457.880005,458.660004,441,443.089996,96283200
"7/24/23",447.309998,451.089996,440.399994,446.119995,38251600
"7/25/23",449.410004,461.829987,449.230011,456.790009,34808100
"7/26/23",460.209991,460.529999,446.299988,454.519989,36423700
"7/27/23",465.190002,473.950012,457.5,459,45597600
"7/28/23",466.679993,470.269989,463.809998,467.5,33119400
"7/31/23",467.540009,471.299988,465.059998,467.290009,25105500
"8/1/23",464.600006,469,460.269989,465.070007,23785800
"8/2/23",458.309998,458.399994,433.869995,442.690002,53014200
"8/3/23",438,451.179993,438,445.149994,32417600
"8/4/23",449.850006,456.420013,443.929993,446.799988,36225800
"8/7/23",451.109985,455.399994,445.630005,454.170013,32215400
"8/8/23",448.529999,452.420013,440.559998,446.640015,35384300
"8/9/23",442.73999,443.119995,421.339996,425.540009,58644900
